2021 super output area - lower layer,Total: All usual residents,Very good health,Good health,Fair health,Bad health,Very bad health
E01005296 : Manchester 029E,"1,567",852,458,178,56,23
E01005299 : Manchester 029F,"1,579",795,512,190,67,15
E01005178 : Manchester 030A,"2,010","1,028",622,237,83,40
E01005179 : Manchester 030B,"2,228","1,108",755,248,87,30
E01005180 : Manchester 030C,"1,920",838,607,289,140,46
E01005181 : Manchester 030D,"2,227","1,124",659,314,94,36
E01005182 : Manchester 030E,"1,619",800,492,211,91,25
E01005183 : Manchester 030F,"1,792",851,494,269,127,51
E01005219 : Manchester 031A,"2,277","1,080",787,296,91,23
E01005220 : Manchester 031B,"2,138","1,111",694,238,74,21
E01005221 : Manchester 031C,"2,557","1,255",900,287,96,19
E01005222 : Manchester 031D,"2,164","1,040",712,260,125,27
E01005184 : Manchester 032A,"2,295","1,252",738,222,55,28
E01005185 : Manchester 032B,"3,261","1,770","1,215",236,33,7
E01005271 : Manchester 032C,"1,985","1,039",736,156,42,12
E01034128 : Manchester 032F,"3,735","1,988","1,253",379,95,20
E01005154 : Manchester 033A,"1,427",823,435,102,35,32
E01005156 : Manchester 033B,"1,479",840,468,129,31,11
E01005158 : Manchester 033C,"1,491",770,438,196,71,16
E01005300 : Manchester 033D,"1,547",745,536,189,63,14
E01005301 : Manchester 033E,"1,479",805,473,158,36,7
E01005118 : Manchester 034A,"1,474",742,464,175,78,15
E01005120 : Manchester 034B,"1,903",896,638,243,98,28
E01005215 : Manchester 034C,"2,045",993,694,257,79,22
E01005216 : Manchester 034D,"1,529",795,501,168,45,20
E01005217 : Manchester 034E,"2,053","1,122",623,234,59,15
E01005218 : Manchester 034F,"1,689",793,535,233,95,33
E01005270 : Manchester 035A,"1,768",806,556,261,107,38
E01005272 : Manchester 035B,"1,971",857,588,313,158,55
E01005273 : Manchester 035C,"1,667",884,564,147,54,18
E01005278 : Manchester 035D,"1,853",978,601,191,67,16
E01005279 : Manchester 035E,"2,198","1,123",652,302,92,29
E01005305 : Manchester 036A,"1,709",912,554,186,46,11
E01005309 : Manchester 036B,"2,232","1,204",730,220,58,20
E01005310 : Manchester 036C,"1,986","1,062",651,175,74,24
E01005311 : Manchester 036D,"1,825",930,632,185,64,14
E01005312 : Manchester 036E,"1,982","1,074",637,169,87,15
E01005082 : Manchester 037A,"1,799",904,527,216,98,54
E01005153 : Manchester 037B,"1,544",851,453,159,61,20
E01005155 : Manchester 037C,"1,434",844,432,118,31,9
E01005157 : Manchester 037D,"1,530",937,463,95,31,4
E01005274 : Manchester 038A,"1,751",814,590,240,82,25
E01005275 : Manchester 038B,"1,783","1,090",540,108,36,9
E01005276 : Manchester 038C,"1,464",806,444,164,38,12
E01005277 : Manchester 038D,"1,677","1,055",482,98,32,10
E01005076 : Manchester 039A,"1,348",810,389,110,25,14
E01005081 : Manchester 039C,"1,824",836,580,254,126,28
E01005083 : Manchester 039D,"1,837","1,105",565,122,35,10
E01033670 : Manchester 039E,"1,446",967,403,59,15,2
E01033671 : Manchester 039F,"1,788","1,138",443,116,30,61
E01005125 : Manchester 040A,"1,575",786,473,192,89,35
E01005304 : Manchester 040B,"1,959","1,145",541,222,38,13
E01005306 : Manchester 040C,"1,580",913,458,156,43,10
E01005307 : Manchester 040D,"1,800","1,000",595,144,51,10
E01005308 : Manchester 040E,"1,688",880,523,201,66,18
E01005119 : Manchester 041A,"1,736",800,533,244,109,50
E01005121 : Manchester 041B,"1,687",746,573,199,142,27
E01005122 : Manchester 041C,"1,909",944,602,242,94,27
E01005123 : Manchester 041D,"1,774",848,546,244,98,38
E01005124 : Manchester 041E,"1,861",890,585,239,107,40
E01005077 : Manchester 042A,"1,674",783,522,221,112,36
E01005078 : Manchester 042B,"1,556",811,497,178,52,18
E01005079 : Manchester 042C,"1,642",860,520,199,48,15
E01005084 : Manchester 042D,"2,012",995,654,243,95,25
E01005172 : Manchester 043A,"1,533",798,479,182,55,19
E01005173 : Manchester 043B,"1,620",935,468,154,44,19
E01005174 : Manchester 043C,"1,558",943,464,111,34,6
E01005175 : Manchester 043D,"1,590",868,474,173,57,18
E01005176 : Manchester 043E,"1,682",976,516,122,54,14
E01005177 : Manchester 043F,"1,303",690,415,140,35,23
E01005115 : Manchester 044A,"1,898",946,590,246,90,26
E01005262 : Manchester 044B,"1,785",836,595,221,99,34
E01005264 : Manchester 044C,"1,649",693,535,285,111,25
E01005265 : Manchester 044D,"1,735",786,563,236,117,33
E01005266 : Manchester 044E,"2,052",975,644,292,120,21
E01005126 : Manchester 045A,"2,002","1,052",637,238,58,17
E01005168 : Manchester 045B,"1,404",809,434,119,29,13
E01005169 : Manchester 045C,"1,370",807,404,115,37,7
E01005170 : Manchester 045D,"1,520",836,450,170,43,21
E01005171 : Manchester 045E,"1,742",931,534,185,76,16
E01005263 : Manchester 046A,"1,736",735,552,304,104,41
E01005267 : Manchester 046B,"1,524",741,466,214,85,18
E01005268 : Manchester 046C,"2,185","1,138",670,261,91,25
E01005269 : Manchester 046D,"1,534",746,505,195,70,18
E01005069 : Manchester 047A,"1,418",690,452,188,65,23
E01005111 : Manchester 047B,"1,461",698,449,207,83,24
E01005113 : Manchester 047C,"1,670",665,524,321,120,40
E01005114 : Manchester 047D,"1,744",788,642,221,76,17
E01005116 : Manchester 047E,"2,089","1,024",633,291,109,32
E01005071 : Manchester 048A,"1,735",766,594,244,94,37
E01005072 : Manchester 048B,"1,780",867,569,205,101,38
E01005073 : Manchester 048C,"1,536",724,518,218,64,12
E01005112 : Manchester 048D,"1,723",836,547,224,95,21
E01005117 : Manchester 048E,"2,455","1,311",632,342,133,37
E01005085 : Manchester 049A,"1,673",853,484,214,100,22
E01005086 : Manchester 049B,"1,909",864,624,252,124,45
E01005089 : Manchester 049C,"1,970",912,623,280,129,26
E01005289 : Manchester 049D,"1,702",671,514,323,141,53
E01005295 : Manchester 049E,"2,641","1,338",840,296,129,38
E01005087 : Manchester 050A,"2,304","1,052",717,337,157,41
E01005088 : Manchester 050B,"1,933",848,626,269,137,53
E01005090 : Manchester 050C,"1,891",781,601,318,160,31
E01005091 : Manchester 050D,"2,381","1,210",729,285,110,47
E01005291 : Manchester 050E,"1,482",621,448,274,101,38
E01005068 : Manchester 051A,"1,690",770,530,250,106,34
E01005070 : Manchester 051B,"1,847",817,609,264,118,39
E01005074 : Manchester 051C,"1,623",721,525,241,103,33
E01005075 : Manchester 051D,"1,548",703,422,249,138,36
E01005319 : Manchester 051E,"2,323","1,097",736,308,120,62
E01005290 : Manchester 052A,"1,690",749,505,267,131,38
E01005292 : Manchester 052B,"1,522",647,512,237,100,26
E01005293 : Manchester 052C,"1,174",536,403,171,48,16
E01005294 : Manchester 052D,"1,617",776,520,219,83,19
E01005317 : Manchester 052E,"2,022",869,651,351,113,38
E01005313 : Manchester 053A,"1,515",682,497,213,100,23
E01005314 : Manchester 053B,"1,695",801,535,241,89,29
E01005315 : Manchester 053C,"1,726",667,556,310,141,52
E01005316 : Manchester 053D,"1,640",846,483,219,75,17
E01005318 : Manchester 053E,"1,990",876,617,301,107,89
E01005130 : Manchester 054A,"1,446",642,464,209,89,42
E01033651 : Manchester 054B,"1,691",961,586,111,27,6
E01033658 : Manchester 054C,"1,393",783,501,81,22,6
E01033664 : Manchester 054D,"1,859","1,085",631,122,18,3
E01033667 : Manchester 054E,"1,490",829,491,114,40,16
E01005128 : Manchester 055A,"2,027","1,198",705,113,9,2
E01033653 : Manchester 055B,"1,851",932,653,195,52,19
E01033654 : Manchester 055C,"1,791","1,064",608,100,18,1
E01033661 : Manchester 055E,"1,987","1,103",638,161,66,19
E01034129 : Manchester 055F,"1,082",626,373,76,7,0
E01034130 : Manchester 055G,"1,392",882,413,87,8,2
E01005143 : Manchester 056A,"3,007","1,576",933,335,111,52
E01033655 : Manchester 056B,"1,267",796,393,63,14,1
E01033665 : Manchester 056C,"1,522",820,530,117,44,11
E01033676 : Manchester 056D,"2,006",967,553,307,135,44
E01005212 : Manchester 057A,"3,127","1,544","1,206",274,76,27
E01033656 : Manchester 057B,"2,718","1,540","1,029",136,12,1
E01033662 : Manchester 057C,"2,015","1,200",651,113,38,13
E01005142 : Manchester 058A,"2,293","1,167",663,289,127,47
E01005147 : Manchester 058B,"2,783","1,456",830,338,116,43
E01033674 : Manchester 058C,"2,080",916,740,277,106,41
E01033675 : Manchester 058D,"2,208","1,220",627,229,99,33
E01005213 : Manchester 059A,"2,393","1,113",814,300,132,34
E01033660 : Manchester 059B,"1,438",893,476,63,4,2
E01033672 : Manchester 059C,"1,704",914,528,167,60,35
E01033673 : Manchester 059D,"1,444",898,480,54,11,1
E01033677 : Manchester 060A,"1,017",632,325,54,5,1
E01033681 : Manchester 060B,"1,330",824,411,78,14,3
E01033682 : Manchester 060C,"1,223",701,401,98,17,6
E01034131 : Manchester 060E,"1,024",650,315,51,8,0
E01034132 : Manchester 060F,"1,832","1,198",546,76,11,1
E01005129 : Manchester 061A,"1,840",910,575,222,93,40
E01005132 : Manchester 061B,"2,136","1,013",679,282,119,43
E01034133 : Manchester 061C,"1,868",977,507,224,114,46
E01034134 : Manchester 061D,"1,193",785,346,56,4,2
E01034135 : Manchester 062A,"1,113",674,335,69,28,7
E01033688 : Manchester 062B,"1,709",778,469,291,124,47
E01034136 : Manchester 062C,"1,010",637,289,75,7,2
E01033684 : Manchester 062D,"1,820","1,089",621,97,10,3
E01005234 : Manchester 063A,"2,313","1,119",774,301,87,32
E01005233 : Manchester 063B,"2,936","1,484",931,362,121,38
E01034137 : Manchester 063C,"1,732",801,622,214,62,33
E01005238 : Manchester 063D,"2,298","1,198",715,283,76,26
E01005200 : Manchester 064A,"2,459","1,145",809,336,131,38
E01034138 : Manchester 064B,"1,385",695,451,175,48,16
E01005199 : Manchester 064C,"2,514","1,309",799,290,93,23
E01005357 : Oldham 001A,"1,426",672,470,220,51,13
E01005358 : Oldham 001B,"1,569",677,523,253,88,28
E01005359 : Oldham 001C,"1,566",651,559,251,78,27
E01005360 : Oldham 001D,"1,380",536,493,263,69,19
E01005441 : Oldham 002A,"1,529",613,502,241,131,42
E01005442 : Oldham 002B,"1,331",589,518,161,48,15
E01005444 : Oldham 002C,"1,397",557,497,250,66,27
E01005445 : Oldham 002D,"1,424",666,459,197,75,27
E01005361 : Oldham 003A,"1,672",734,575,276,65,22
E01005443 : Oldham 003B,"1,314",690,433,147,36,8
E01005446 : Oldham 003C,"1,406",641,493,203,54,15
E01005447 : Oldham 003D,"1,647",629,483,346,144,45
E01005390 : Oldham 004A,"1,361",623,492,178,52,16
E01005394 : Oldham 004B,"1,450",752,443,188,50,17
E01005395 : Oldham 004C,"1,430",678,498,178,59,17
E01005396 : Oldham 004D,"1,432",640,500,226,47,19
E01005355 : Oldham 005A,"1,460",667,498,202,74,19
E01005356 : Oldham 005B,"1,253",638,424,138,45,8
E01005399 : Oldham 005C,"1,585",688,553,240,79,25
E01005403 : Oldham 005D,"1,735",888,587,202,45,13
E01005410 : Oldham 006A,"1,494",813,461,172,36,12
E01005411 : Oldham 006B,"1,565",684,526,265,72,18
E01005414 : Oldham 006C,"1,335",777,378,119,48,13
E01005415 : Oldham 006D,"1,109",493,391,153,47,25
E01005452 : Oldham 007C,"1,278",598,430,184,52,14
E01005453 : Oldham 007D,"1,553",797,526,177,48,5
E01032558 : Oldham 007E,"1,727",847,522,238,93,27
E01032559 : Oldham 007F,"2,750","1,391",851,351,117,40
E01005391 : Oldham 008A,"1,559",784,483,215,59,18
E01005392 : Oldham 008B,"1,591",625,476,329,124,37
E01005393 : Oldham 008C,"1,222",535,416,208,53,10
E01005401 : Oldham 008D,"1,585",762,510,236,58,19
E01005397 : Oldham 009A,"1,328",568,466,193,85,16
E01005398 : Oldham 009B,"1,530",709,514,218,74,15
E01005400 : Oldham 009C,"1,526",549,534,285,116,42
E01005402 : Oldham 009D,"1,644",825,527,209,62,21
E01005335 : Oldham 010A,"1,290",668,417,164,35,6
E01005337 : Oldham 010B,"2,548","1,233",906,300,84,25
E01005339 : Oldham 010C,"1,485",759,500,188,36,2
E01005340 : Oldham 010D,"1,600",721,499,248,94,38
E01005421 : Oldham 011A,"1,816",826,551,289,114,36
E01005422 : Oldham 011B,"1,551",747,496,218,76,14
E01032920 : Oldham 011E,"2,585","1,222",869,351,113,30
E01005448 : Oldham 012A,"1,643",667,522,300,118,36
E01005449 : Oldham 012B,"1,586",659,478,271,139,39
E01005454 : Oldham 012C,"1,380",676,445,200,49,10
E01005455 : Oldham 012D,"1,465",738,481,179,57,10
E01005456 : Oldham 012E,"1,681",747,520,252,123,39
E01005407 : Oldham 013A,"1,719",933,566,171,44,5
E01005412 : Oldham 013B,"1,686",888,550,190,48,10
E01005416 : Oldham 013C,"1,521",850,448,167,43,13
E01005417 : Oldham 013D,"1,554",804,492,187,61,10
E01005348 : Oldham 014A,"2,423","1,192",731,303,154,43
E01005350 : Oldham 014B,"2,408",999,683,435,201,90
E01005432 : Oldham 014C,"1,826",807,568,313,112,26
E01005433 : Oldham 014D,"2,479","1,205",798,304,120,52
E01005329 : Oldham 015A,"1,501",755,518,166,45,17
E01005330 : Oldham 015B,"1,735",893,570,197,54,21
E01005333 : Oldham 015C,"1,237",615,431,142,41,8
E01005336 : Oldham 015D,"1,521",725,533,192,61,10
E01005349 : Oldham 016A,"2,506","1,167",881,317,118,23
E01005351 : Oldham 016B,"2,085","1,061",637,265,94,28
E01005352 : Oldham 016C,"1,529",681,513,226,86,23
E01005353 : Oldham 016D,"1,510",662,529,201,84,34
E01005354 : Oldham 016E,"1,804",864,591,248,78,23
E01005327 : Oldham 017A,"1,969",900,625,323,95,26
E01005328 : Oldham 017B,"1,790",734,601,302,118,35
E01005331 : Oldham 017C,"1,726",812,600,229,64,21
E01005334 : Oldham 017D,"1,425",794,456,138,28,9
E01005338 : Oldham 017E,"1,941",798,638,303,152,50
E01005387 : Oldham 018A,"1,472",675,545,202,40,10
E01005388 : Oldham 018B,"1,339",606,451,202,60,20
E01005389 : Oldham 018C,"1,767",762,628,246,103,28
E01005418 : Oldham 018D,"1,410",690,473,194,35,18
E01005428 : Oldham 019A,"2,363","1,276",717,270,72,28
E01005431 : Oldham 019B,"1,863",841,652,258,87,25
E01005450 : Oldham 019C,"2,138","1,013",732,268,82,43
E01005451 : Oldham 019D,"1,548",727,579,175,52,15
E01005408 : Oldham 020C,"2,016","1,043",649,234,74,16
E01005409 : Oldham 020D,"1,570",842,511,171,36,10
E01032922 : Oldham 020E,"2,415","1,128",828,326,100,33
E01005406 : Oldham 021A,"1,407",782,409,160,41,15
E01005413 : Oldham 021B,"1,591",863,520,166,35,7
E01005419 : Oldham 021C,"1,451",677,516,185,63,10
E01005420 : Oldham 021D,"1,615",691,551,257,83,33
E01005321 : Oldham 022A,"2,334","1,095",755,309,137,38
E01005326 : Oldham 022B,"2,997","1,448",893,446,154,56
E01005427 : Oldham 022C,"2,214","1,010",742,296,138,28
E01005429 : Oldham 022D,"1,920",903,657,241,87,32
E01005430 : Oldham 022E,"2,855","1,476",907,311,124,37
E01005320 : Oldham 024A,"2,699","1,371",855,355,89,29
E01005434 : Oldham 024B,"2,160",964,736,309,124,27
E01005437 : Oldham 024C,"2,048",963,706,284,72,23
E01005459 : Oldham 024D,"1,770",829,533,225,145,38
E01005383 : Oldham 026A,"2,193","1,083",709,252,117,32
E01005386 : Oldham 026D,"1,548",654,495,248,114,37
E01032556 : Oldham 026E,"1,504",688,538,188,68,22
E01032557 : Oldham 026F,"1,819",799,562,296,124,38
E01005342 : Oldham 027A,"1,592",645,496,290,131,30
E01005343 : Oldham 027B,"1,415",623,461,226,78,27
E01005344 : Oldham 027C,"1,912",894,642,247,89,40
E01005381 : Oldham 027D,"1,956",906,613,255,149,33
E01005332 : Oldham 028A,"2,295",961,813,364,114,43
E01005341 : Oldham 028B,"1,413",660,480,189,68,16
E01005345 : Oldham 028C,"1,503",704,517,196,75,11
E01005346 : Oldham 028D,"1,394",616,445,237,76,20
E01005347 : Oldham 028E,"1,311",599,471,174,47,20
E01005322 : Oldham 029A,"1,509",684,449,237,98,41
E01005323 : Oldham 029B,"1,570",678,462,285,105,40
E01005324 : Oldham 029C,"1,620",675,547,263,109,26
E01005325 : Oldham 029D,"1,498",700,422,262,87,27
E01005438 : Oldham 029E,"2,965","1,464","1,015",341,114,31
E01005377 : Oldham 030A,"1,749",857,552,226,87,27
E01005379 : Oldham 030B,"1,295",578,419,201,76,21
E01005380 : Oldham 030C,"1,514",711,470,225,83,25
E01005382 : Oldham 030D,"1,609",667,525,293,94,30
E01005439 : Oldham 030E,"1,588",669,580,248,69,22
E01005362 : Oldham 031A,"1,362",608,488,197,55,14
E01005364 : Oldham 031B,"1,584",736,572,187,76,13
E01005368 : Oldham 031C,"1,516",666,493,250,82,25
E01005376 : Oldham 031D,"1,444",654,456,218,93,23
E01005378 : Oldham 031E,"1,559",720,495,228,91,25
E01005363 : Oldham 032A,"1,772",813,557,239,137,26
E01005369 : Oldham 032B,"1,965",891,656,266,96,56
E01005370 : Oldham 032C,"1,578",594,530,294,129,31
E01005371 : Oldham 032D,"1,472",701,493,196,66,16
E01005365 : Oldham 033A,"1,377",673,454,185,48,17
E01005366 : Oldham 033B,"1,556",577,511,304,122,42
E01005367 : Oldham 033C,"1,420",736,439,178,48,19
E01005440 : Oldham 033D,"1,451",613,495,233,82,28
E01005372 : Oldham 034A,"1,276",648,407,156,50,15
E01005373 : Oldham 034B,"1,193",567,402,165,47,12
E01005374 : Oldham 034C,"1,486",663,507,200,93,23
E01005375 : Oldham 034D,"1,503",710,535,186,54,18
E01034232 : Oldham 036A,"1,692",877,470,240,78,27
E01034233 : Oldham 036B,"1,608",775,530,211,80,12
E01005460 : Oldham 036C,"2,705","1,318",910,327,122,28
E01005463 : Oldham 036D,"1,687",832,559,215,55,26
E01005461 : Oldham 037A,"2,423","1,191",778,305,122,27
E01005435 : Oldham 037B,"2,032","1,039",630,241,101,21
E01005462 : Oldham 037C,"2,204","1,070",724,291,98,21
E01005436 : Oldham 037D,"1,828",941,573,235,60,19
E01005518 : Rochdale 001A,"1,592",785,478,218,87,24
E01005520 : Rochdale 001B,"1,715",791,610,228,71,15
E01005522 : Rochdale 001C,"1,484",658,494,224,82,26
E01005523 : Rochdale 001D,"1,832",888,598,255,75,16
E01005519 : Rochdale 002A,"1,564",842,498,166,45,13
E01005594 : Rochdale 002B,"1,512",721,532,172,72,15
E01005597 : Rochdale 002C,"1,979","1,045",634,220,67,13
E01005598 : Rochdale 002D,"1,549",707,571,207,53,11
E01005516 : Rochdale 003A,"1,281",627,437,159,49,9
E01005517 : Rochdale 003B,"1,435",620,512,219,64,20
E01005521 : Rochdale 003C,"1,451",720,464,203,50,14
E01005596 : Rochdale 003D,"2,156","1,083",723,267,67,16
E01005578 : Rochdale 004A,"1,545",653,508,255,94,35
E01005579 : Rochdale 004B,"1,861",922,590,224,96,29
E01005586 : Rochdale 004C,"1,615",729,479,259,102,46
E01005593 : Rochdale 004D,"2,058","1,063",635,259,74,27
E01005595 : Rochdale 004E,"1,330",459,415,268,143,45
E01005489 : Rochdale 005A,"1,249",556,467,166,51,9
E01005490 : Rochdale 005B,"1,571",599,605,242,105,20
E01005491 : Rochdale 005C,"1,435",613,524,216,68,14
E01005493 : Rochdale 005D,"1,759",885,587,217,57,13
E01005494 : Rochdale 005E,"1,759",809,599,243,89,19
E01005495 : Rochdale 005F,"1,769",743,627,282,91,26
E01005488 : Rochdale 006A,"1,507",865,486,120,29,7
E01005492 : Rochdale 006B,"1,534",742,498,232,47,15
E01005499 : Rochdale 006C,"1,512",763,497,172,63,17
E01005571 : Rochdale 006D,"1,648",908,526,148,49,17
E01005570 : Rochdale 007A,"1,307",617,448,151,81,10
E01005572 : Rochdale 007B,"1,499",795,465,175,51,13
E01005573 : Rochdale 007C,"1,432",767,474,129,46,16
E01005574 : Rochdale 007D,"1,728",930,543,183,60,12
E01005587 : Rochdale 007E,"1,366",781,438,112,21,14
E01005588 : Rochdale 007F,"1,316",474,475,243,99,25
E01005580 : Rochdale 008A,"1,651",791,562,221,64,13
E01005581 : Rochdale 008B,"1,971",963,593,253,111,51
E01005583 : Rochdale 008D,"1,746",774,547,279,110,36
E01005585 : Rochdale 008F,"1,566",749,540,181,80,16
E01034234 : Rochdale 008H,"1,763",859,571,216,92,25
E01034235 : Rochdale 008I,"1,666",768,544,235,95,24
E01005496 : Rochdale 009A,"1,322",582,462,181,74,23
E01005589 : Rochdale 009B,"1,702",791,583,236,71,21
E01005590 : Rochdale 009C,"1,907",849,688,260,87,23
E01005591 : Rochdale 009D,"1,589",775,497,246,58,13
E01005592 : Rochdale 009E,"1,639",726,574,222,94,23
E01005472 : Rochdale 010A,"1,647",741,555,222,98,31
E01005473 : Rochdale 010B,"1,697",797,557,230,90,23
E01005482 : Rochdale 010C,"1,660",622,510,305,173,50
E01005483 : Rochdale 010D,"1,485",570,537,249,106,23
E01005484 : Rochdale 010E,"2,032",877,703,276,141,35
E01005486 : Rochdale 010F,"1,701",799,583,223,72,24
E01005487 : Rochdale 010G,"1,788",841,598,248,82,19
E01005474 : Rochdale 011A,"1,318",586,433,183,104,12
E01005575 : Rochdale 011B,"1,716",811,613,225,50,17
E01005576 : Rochdale 011C,"1,523",813,480,178,41,11
E01005577 : Rochdale 011D,"1,456",788,456,165,39,8
E01005469 : Rochdale 012A,"1,822",819,674,234,79,16
E01005563 : Rochdale 012B,"2,169","1,000",752,303,82,32
E01005565 : Rochdale 012C,"1,570",731,477,242,94,26
E01005566 : Rochdale 012D,"2,344","1,104",800,299,117,24
E01005568 : Rochdale 012E,"1,940",944,556,310,107,23
E01005569 : Rochdale 012F,"1,793",777,606,271,105,34
E01005556 : Rochdale 013A,"1,529",668,553,222,70,16
E01005559 : Rochdale 013B,"1,469",621,465,262,90,31
E01005560 : Rochdale 013C,"1,462",615,521,242,69,15
E01005567 : Rochdale 013D,"1,880",911,634,239,76,20
E01005555 : Rochdale 014A,"1,385",712,464,159,40,10
E01005557 : Rochdale 014B,"1,139",503,412,173,34,17
E01005558 : Rochdale 014C,"1,594",714,524,244,83,29
E01005561 : Rochdale 014D,"1,412",624,516,199,64,9
E01005562 : Rochdale 014E,"1,509",706,478,209,87,29
E01005470 : Rochdale 015A,"2,033",975,680,245,95,38
E01005471 : Rochdale 015B,"1,696",804,564,230,79,19
E01005475 : Rochdale 015C,"1,778",772,607,266,106,27
E01005485 : Rochdale 015D,"2,377","1,060",734,364,169,50
E01005564 : Rochdale 015E,"2,410","1,196",744,331,111,28
E01005464 : Rochdale 016A,"1,966",935,610,267,117,37
E01005465 : Rochdale 016B,"1,810",830,612,234,111,23
E01005466 : Rochdale 016C,"2,485","1,077",789,381,177,61
E01005467 : Rochdale 016D,"1,973",914,613,277,128,41
E01005468 : Rochdale 016E,"2,166","1,280",633,192,48,13
E01005476 : Rochdale 017A,"1,793",862,608,230,71,22
E01005477 : Rochdale 017B,"1,771",709,616,298,113,35
E01005478 : Rochdale 017C,"1,587",679,570,237,77,24
E01005479 : Rochdale 017D,"1,977",953,620,289,97,18
E01005480 : Rochdale 017E,"1,645",707,549,263,88,38
E01005481 : Rochdale 017F,"1,679",742,536,269,102,30
E01005497 : Rochdale 018A,"1,891",897,637,228,98,31
E01005501 : Rochdale 018B,"1,784",672,579,312,173,48
E01005502 : Rochdale 018C,"1,377",600,435,243,66,33
E01005504 : Rochdale 018D,"1,641",754,526,257,78,26
E01005505 : Rochdale 018E,"2,185","1,053",721,288,84,39
E01005509 : Rochdale 018F,"1,442",522,530,252,116,22
E01005510 : Rochdale 019A,"1,095",509,380,148,50,8
E01005511 : Rochdale 019B,"1,253",553,401,200,86,13
E01005512 : Rochdale 019C,"1,440",623,520,201,77,19
E01005513 : Rochdale 019D,"1,555",685,499,245,102,24
E01005514 : Rochdale 019E,"1,844",900,598,238,91,17
E01005515 : Rochdale 019F,"1,798",796,545,285,133,39
E01005498 : Rochdale 020A,"1,372",674,440,189,50,19
E01005500 : Rochdale 020B,"1,593",750,534,205,88,16
E01005503 : Rochdale 020C,"1,317",686,432,148,38,13
E01005506 : Rochdale 020D,"1,545",653,535,252,75,30
E01005507 : Rochdale 020E,"2,261","1,209",726,251,55,20
E01005508 : Rochdale 020F,"2,015","1,119",629,200,54,13
E01005524 : Rochdale 021A,"1,470",675,487,217,78,13
E01005525 : Rochdale 021B,"1,889",873,578,269,123,46
E01005526 : Rochdale 021C,"1,908",962,595,237,96,18
E01005528 : Rochdale 021D,"1,550",670,539,238,88,15
E01005536 : Rochdale 021E,"1,713",820,538,250,79,26
E01005543 : Rochdale 021F,"1,252",602,395,163,83,9
E01005527 : Rochdale 022A,"2,059",983,616,278,148,34
