2021 super output area - lower layer,Total: All usual residents,Very good health,Good health,Fair health,Bad health,Very bad health
E01005999 : Tameside 011B,"2,188","1,011",727,313,98,39
E01006002 : Tameside 011C,"1,369",585,494,189,78,23
E01006004 : Tameside 011D,"1,525",697,516,229,72,11
E01006005 : Tameside 011E,"1,394",589,428,248,92,37
E01006007 : Tameside 011F,"1,553",728,513,208,83,21
E01005998 : Tameside 012A,"1,881",892,639,241,93,16
E01006001 : Tameside 012B,"1,546",732,501,232,52,29
E01006003 : Tameside 012C,"1,530",656,544,235,75,20
E01006006 : Tameside 012D,"1,427",623,507,207,73,17
E01005948 : Tameside 013A,"2,316",976,776,374,143,47
E01005950 : Tameside 013B,"2,174","1,142",675,249,81,27
E01005951 : Tameside 013C,"1,860",899,614,241,87,19
E01005953 : Tameside 013E,"2,297","1,020",739,346,150,42
E01033949 : Tameside 013F,"1,189",485,330,224,114,36
E01033950 : Tameside 013G,"1,371",498,498,225,112,38
E01005961 : Tameside 014A,"2,962","1,705",902,254,81,20
E01005962 : Tameside 014B,"1,419",680,483,175,68,13
E01005968 : Tameside 014C,"1,375",637,473,198,46,21
E01005969 : Tameside 014D,"1,299",571,466,194,55,13
E01006022 : Tameside 015A,"1,936",860,639,312,92,33
E01006023 : Tameside 015B,"1,578",614,498,254,163,49
E01006070 : Tameside 015C,"1,398",708,476,161,43,10
E01006071 : Tameside 015D,"1,710",866,588,186,51,19
E01006072 : Tameside 015E,"1,615",862,519,185,36,13
E01006009 : Tameside 016A,"1,326",592,464,195,57,18
E01006017 : Tameside 016B,"1,398",704,470,172,38,14
E01006018 : Tameside 016C,"1,318",570,487,189,50,22
E01006021 : Tameside 016D,"1,366",606,500,198,50,12
E01006008 : Tameside 017A,"1,386",621,504,193,59,9
E01006010 : Tameside 017B,"1,403",558,470,236,105,34
E01006012 : Tameside 017C,"1,963",891,685,282,86,19
E01006015 : Tameside 017D,"1,347",727,399,165,42,14
E01006016 : Tameside 017E,"1,944",723,686,359,136,40
E01006011 : Tameside 018A,"1,709",690,538,299,139,43
E01006013 : Tameside 018B,"1,307",603,424,189,71,20
E01006014 : Tameside 018C,"1,282",600,448,168,52,14
E01006019 : Tameside 018D,"1,505",496,484,327,148,50
E01006020 : Tameside 018E,"1,637",733,550,254,79,21
E01005963 : Tameside 019A,"1,162",544,411,154,44,9
E01005964 : Tameside 019B,"1,523",740,500,219,54,10
E01005965 : Tameside 019C,"1,733",786,560,262,89,36
E01005966 : Tameside 019D,"1,578",781,536,181,61,19
E01005967 : Tameside 019E,"1,424",548,476,245,116,39
E01006031 : Tameside 020A,"2,253","1,061",747,286,123,36
E01006032 : Tameside 020B,"1,524",655,516,239,96,18
E01006033 : Tameside 020C,"1,768",795,587,275,81,30
E01006034 : Tameside 020D,"2,133",956,724,295,125,33
E01006035 : Tameside 020E,"2,146",952,741,312,120,21
E01006036 : Tameside 020F,"2,152",985,696,317,118,36
E01005970 : Tameside 021A,"1,413",629,478,224,64,18
E01005972 : Tameside 021B,"1,720",789,557,274,74,26
E01005974 : Tameside 021C,"1,693",721,576,261,103,32
E01005975 : Tameside 021D,"1,547",681,545,225,79,17
E01006024 : Tameside 022A,"1,764",926,594,177,50,17
E01006026 : Tameside 022B,"1,525",651,524,258,60,32
E01006037 : Tameside 022C,"1,601",761,589,182,53,16
E01006038 : Tameside 022D,"1,586",680,570,240,83,13
E01006047 : Tameside 023A,"1,326",601,470,177,63,15
E01006048 : Tameside 023B,"1,596",717,519,281,64,15
E01006049 : Tameside 023C,"1,548",648,585,213,82,20
E01006051 : Tameside 023D,"1,628",780,575,188,69,16
E01005985 : Tameside 024A,"1,554",729,533,211,64,17
E01005987 : Tameside 024B,"1,518",680,528,212,83,15
E01005988 : Tameside 024C,"1,600",812,557,184,32,15
E01005990 : Tameside 024D,"1,373",603,473,224,59,14
E01005991 : Tameside 024E,"1,496",710,545,172,53,16
E01005971 : Tameside 025A,"1,354",565,497,187,80,25
E01005986 : Tameside 025B,"1,244",593,403,173,59,16
E01005989 : Tameside 025C,"1,206",576,433,135,50,12
E01005992 : Tameside 025D,"1,208",476,403,201,98,30
E01005973 : Tameside 026A,"1,367",607,482,200,68,10
E01005976 : Tameside 026B,"1,483",633,511,220,90,29
E01005977 : Tameside 026C,"1,450",587,547,212,83,21
E01005978 : Tameside 026D,"1,336",538,482,215,82,19
E01006025 : Tameside 027A,"1,919",898,582,282,109,48
E01006027 : Tameside 027B,"2,343","1,099",758,312,133,41
E01006050 : Tameside 027C,"1,842",861,580,245,128,28
E01006052 : Tameside 027D,"1,580",722,428,273,119,38
E01006028 : Tameside 028A,"1,776",648,586,338,148,56
E01006029 : Tameside 028B,"1,933",900,674,237,91,31
E01006030 : Tameside 028C,"1,868",810,618,305,114,21
E01006039 : Tameside 028D,"1,355",584,463,221,67,20
E01006040 : Tameside 028E,"1,891",799,669,291,87,45
E01006041 : Tameside 028F,"1,721",758,630,241,75,17
E01005979 : Tameside 029A,"1,588",654,538,254,118,24
E01005980 : Tameside 029B,"1,450",590,472,251,96,41
E01005981 : Tameside 029C,"1,648",656,525,309,117,41
E01005982 : Tameside 029D,"1,326",546,476,202,80,22
E01005983 : Tameside 029E,"1,507",637,549,243,67,11
E01005984 : Tameside 029F,"1,604",652,531,289,101,31
E01006042 : Tameside 030A,"1,701",859,560,205,67,10
E01006043 : Tameside 030B,"1,438",610,534,204,72,18
E01006044 : Tameside 030C,"1,523",705,478,233,80,27
E01006045 : Tameside 030D,"1,253",627,445,139,35,7
E01006046 : Tameside 030E,"1,528",712,567,190,39,20
E01006109 : Trafford 001A,"1,152",499,338,212,74,29
E01006110 : Trafford 001B,"1,877",958,617,203,71,28
E01006111 : Trafford 001C,"1,776",948,527,198,72,31
E01006112 : Trafford 001D,"2,049",979,616,263,148,43
E01006188 : Trafford 001F,"1,990","1,029",652,213,83,13
E01034000 : Trafford 001G,"1,237",686,397,105,36,13
E01034001 : Trafford 001H,"1,647",782,513,242,75,35
E01006116 : Trafford 002A,"1,327",720,416,147,37,7
E01006117 : Trafford 002B,"1,704",923,564,162,40,15
E01006118 : Trafford 002C,"1,461",653,477,227,77,27
E01006119 : Trafford 002D,"1,640",885,524,172,50,9
E01006121 : Trafford 002E,"1,451",688,467,218,56,22
E01006141 : Trafford 003A,"1,792",957,541,210,67,17
E01006186 : Trafford 003B,"2,160","1,093",746,210,87,24
E01006187 : Trafford 003C,"2,598","1,276",911,288,98,25
E01006189 : Trafford 003D,"2,328","1,145",767,296,83,37
E01006113 : Trafford 004A,"1,621",803,535,192,76,15
E01006114 : Trafford 004B,"1,694",756,568,250,99,21
E01006115 : Trafford 004C,"1,518",721,524,183,72,18
E01006145 : Trafford 004D,"2,051","1,005",641,277,109,19
E01006146 : Trafford 004E,"1,793",913,590,216,55,19
E01006122 : Trafford 005A,"1,785",898,598,208,70,11
E01006123 : Trafford 005B,"1,669",854,519,203,62,31
E01006124 : Trafford 005C,"1,479",796,453,179,37,14
E01006128 : Trafford 005D,"1,930","1,001",582,216,90,41
E01006131 : Trafford 005E,"1,532",834,467,170,46,15
E01006155 : Trafford 006A,"1,746",929,594,170,37,16
E01006157 : Trafford 006B,"1,701",916,519,205,48,13
E01006159 : Trafford 006C,"1,875",891,618,245,95,26
E01006182 : Trafford 006D,"1,606",842,554,156,48,6
E01006183 : Trafford 006E,"1,724",874,556,212,61,21
E01006125 : Trafford 007A,"1,511",733,495,210,57,16
E01006126 : Trafford 007B,"1,838",829,595,275,108,31
E01006127 : Trafford 007C,"1,545",752,531,188,63,11
E01006130 : Trafford 007D,"1,759",929,571,190,49,20
E01006132 : Trafford 007E,"1,539",801,462,188,64,24
E01006156 : Trafford 008A,"1,674",807,551,229,60,27
E01006158 : Trafford 008B,"1,749",817,586,238,87,21
E01006179 : Trafford 008C,"1,803",823,569,290,92,29
E01006184 : Trafford 008D,"1,698",798,561,225,97,17
E01006198 : Trafford 009A,"1,462",665,487,219,72,19
E01006199 : Trafford 009B,"1,537",700,503,227,90,17
E01006200 : Trafford 009C,"1,481",644,443,245,111,38
E01006201 : Trafford 009D,"1,464",755,441,188,63,17
E01006202 : Trafford 009E,"1,299",662,425,156,45,11
E01006120 : Trafford 010A,"1,430",777,436,148,57,12
E01006129 : Trafford 010B,"1,387",615,455,223,73,21
E01006133 : Trafford 010C,"1,416",617,525,192,67,15
E01006197 : Trafford 010D,"1,478",794,479,151,39,15
E01006203 : Trafford 010E,"1,332",733,432,137,20,10
E01006142 : Trafford 011A,"1,716",810,560,236,87,23
E01006143 : Trafford 011B,"1,668",876,531,203,47,11
E01006144 : Trafford 011C,"1,388",630,435,196,100,27
E01006180 : Trafford 011D,"1,840",962,621,193,51,13
E01006181 : Trafford 011E,"1,746",911,525,218,72,20
E01006147 : Trafford 012A,"1,443",872,422,122,20,7
E01006149 : Trafford 012B,"1,578",858,430,183,81,26
E01006150 : Trafford 012C,"1,919","1,025",585,213,70,26
E01006154 : Trafford 012D,"1,602",967,470,111,41,13
E01006165 : Trafford 012E,"2,007","1,109",612,199,57,30
E01006166 : Trafford 013A,"1,638",868,474,184,95,17
E01006169 : Trafford 013B,"1,647",843,505,222,59,18
E01006170 : Trafford 013C,"1,601",896,476,163,47,19
E01006171 : Trafford 013D,"1,754",852,528,220,118,36
E01006098 : Trafford 014A,"1,337",793,379,122,30,13
E01006099 : Trafford 014B,"1,324",716,422,152,25,9
E01006164 : Trafford 014C,"1,763","1,001",502,194,54,12
E01006174 : Trafford 014D,"1,788",959,564,212,43,10
E01006178 : Trafford 014E,"1,813","1,007",556,174,61,15
E01006097 : Trafford 015A,"1,783",936,560,222,43,22
E01006160 : Trafford 015B,"2,140","1,060",697,278,80,25
E01006161 : Trafford 015C,"2,158","1,203",683,193,73,6
E01006162 : Trafford 015D,"1,624","1,004",454,129,25,12
E01006163 : Trafford 015E,"1,832","1,029",604,154,36,9
E01006148 : Trafford 016A,"1,699",921,499,196,75,8
E01006151 : Trafford 016B,"1,580",911,472,147,39,11
E01006152 : Trafford 016C,"1,640",925,495,167,44,9
E01006153 : Trafford 016D,"1,600",829,511,216,36,8
E01006172 : Trafford 016E,"1,539",758,502,202,59,18
E01006104 : Trafford 017A,"1,687",738,573,241,98,37
E01006105 : Trafford 017B,"1,767",858,510,255,116,28
E01006106 : Trafford 017C,"1,474",629,454,265,91,35
E01006107 : Trafford 017D,"1,594",731,482,232,109,40
E01006108 : Trafford 017E,"1,670",738,531,254,103,44
E01006102 : Trafford 018A,"1,404",733,442,159,55,15
E01006173 : Trafford 018B,"1,550",859,494,149,36,12
E01006175 : Trafford 018C,"1,776",748,565,296,123,44
E01006176 : Trafford 018D,"1,732",923,518,211,62,18
E01006177 : Trafford 018E,"1,653",785,514,248,85,21
E01006091 : Trafford 019A,"2,970","1,720",939,237,57,17
E01006092 : Trafford 019B,"1,331",681,407,161,60,22
E01006095 : Trafford 019C,"1,658",885,547,181,36,9
E01006167 : Trafford 019D,"1,577",710,475,243,118,31
E01006168 : Trafford 019E,"1,814",762,608,281,120,43
E01006090 : Trafford 020A,"2,300","1,249",701,258,71,21
E01006094 : Trafford 020B,"1,603",921,494,141,32,15
E01006096 : Trafford 020C,"1,610",988,459,124,29,10
E01006100 : Trafford 020D,"1,487",818,454,153,51,11
E01006103 : Trafford 020E,"1,693",990,535,131,33,4
E01006101 : Trafford 021A,"1,495",867,472,120,26,10
E01006190 : Trafford 021B,"1,686",987,492,151,44,12
E01006195 : Trafford 021C,"1,796","1,004",569,168,38,17
E01006196 : Trafford 021D,"1,700",969,533,151,37,10
E01006210 : Trafford 021E,"1,609",889,489,172,42,17
E01006204 : Trafford 022A,"1,619",835,485,222,56,21
E01006206 : Trafford 022B,"1,869",937,588,244,69,31
E01006207 : Trafford 022C,"1,749",742,547,281,129,50
E01006208 : Trafford 022D,"1,552",790,504,180,65,13
E01006211 : Trafford 022E,"1,610",788,522,200,68,32
E01006093 : Trafford 023A,"1,527",866,479,144,33,5
E01006191 : Trafford 023B,"1,710","1,020",470,181,29,10
E01006192 : Trafford 023C,"1,516",828,465,165,49,9
E01006205 : Trafford 023D,"1,341",737,429,136,28,11
E01006209 : Trafford 023E,"1,647",941,490,165,37,14
E01006078 : Trafford 024A,"2,122","1,255",631,175,49,12
E01006080 : Trafford 024B,"1,966","1,128",582,190,53,13
E01006089 : Trafford 024C,"2,014","1,167",618,175,43,11
E01006193 : Trafford 024D,"1,572",929,459,133,45,6
E01006194 : Trafford 024E,"2,432","1,511",683,173,49,16
E01006074 : Trafford 025A,"1,642",836,494,205,83,24
E01006075 : Trafford 025B,"2,148","1,215",687,189,43,14
E01006076 : Trafford 025C,"1,675",879,539,184,59,14
E01006079 : Trafford 025D,"2,597","1,596",758,188,39,16
E01006087 : Trafford 025E,"1,451",818,455,144,29,5
E01006083 : Trafford 026A,"1,278",855,304,97,17,5
E01006084 : Trafford 026B,"1,742","1,191",418,103,26,4
E01006088 : Trafford 026C,"1,631","1,094",410,92,28,7
E01006139 : Trafford 026D,"1,805","1,145",478,148,26,8
E01006140 : Trafford 026E,"1,698","1,062",477,120,32,7
E01006077 : Trafford 027A,"1,643",963,454,158,58,10
E01006081 : Trafford 027B,"1,385",844,391,109,34,7
E01006082 : Trafford 027C,"1,497",874,457,119,35,12
E01006085 : Trafford 027D,"1,545",936,417,138,44,10
E01006086 : Trafford 027E,"1,687","1,006",431,183,52,15
E01006134 : Trafford 028A,"1,493",971,401,103,15,3
E01006135 : Trafford 028B,"1,768",968,520,218,50,12
E01006136 : Trafford 028C,"1,703","1,041",464,145,44,9
E01006137 : Trafford 028D,"1,421",837,436,118,20,10
E01006138 : Trafford 028E,"1,890",985,587,228,67,23
E01006315 : Wigan 001A,"1,503",772,497,198,24,12
E01006316 : Wigan 001B,"2,001","1,149",586,199,52,15
E01006317 : Wigan 001C,"1,552",676,538,243,71,24
E01006319 : Wigan 001D,"1,568",958,449,116,37,8
E01006229 : Wigan 002A,"1,378",590,540,189,48,11
E01006230 : Wigan 002B,"2,122","1,216",652,188,54,12
E01006233 : Wigan 002C,"1,404",771,421,153,49,10
E01006237 : Wigan 002D,"1,922","1,110",569,168,59,16
E01006238 : Wigan 002E,"1,509",589,544,254,93,29
E01006259 : Wigan 003A,"1,317",621,435,184,61,16
E01006312 : Wigan 003B,"1,370",654,450,200,53,13
E01006313 : Wigan 003C,"1,458",749,441,190,62,16
E01006314 : Wigan 003D,"1,723",791,600,242,64,26
E01006318 : Wigan 003E,"1,425",635,495,214,62,19
E01006320 : Wigan 003F,"1,279",639,419,167,45,9
E01006321 : Wigan 003G,"1,599",846,502,193,43,15
E01006231 : Wigan 004A,"1,469",725,490,178,59,17
E01006232 : Wigan 004B,"1,989","1,122",575,212,62,18
E01006234 : Wigan 004C,"1,145",455,426,179,64,21
E01006235 : Wigan 004D,"1,527",659,454,271,111,32
E01006253 : Wigan 005A,"1,524",598,572,239,91,24
E01006254 : Wigan 005B,"1,573",671,524,259,105,14
E01006255 : Wigan 005C,"1,492",674,530,207,63,18
E01006256 : Wigan 005D,"1,709",863,532,230,63,21
E01006260 : Wigan 005E,"1,517",660,480,245,100,32
E01006370 : Wigan 006A,"1,886",965,608,243,51,19
E01006372 : Wigan 006B,"1,609",940,446,158,43,22
E01006373 : Wigan 006C,"1,459",769,482,162,30,16
E01006374 : Wigan 006D,"1,463",767,480,149,53,14
E01006390 : Wigan 006E,"1,613",704,538,267,78,26
E01006236 : Wigan 007A,"1,573",774,549,187,49,14
E01006388 : Wigan 007B,"1,837",849,592,243,134,19
E01006389 : Wigan 007C,"1,318",659,454,150,47,8
E01006391 : Wigan 007D,"1,530",625,543,255,88,19
E01006257 : Wigan 008A,"1,208",612,382,150,58,6
E01006258 : Wigan 008B,"1,601",715,535,265,66,20
E01006369 : Wigan 008C,"2,031",893,697,307,112,22
E01006371 : Wigan 008D,"1,476",656,536,205,58,21
E01006375 : Wigan 008E,"1,683",828,594,204,46,11
E01006306 : Wigan 009A,"1,479",539,479,270,155,36
E01006307 : Wigan 009B,"1,372",555,504,205,83,25
E01006386 : Wigan 009C,"1,589",444,511,372,199,63
E01006387 : Wigan 009D,"1,317",558,452,226,65,16
E01006392 : Wigan 009E,"1,477",687,464,210,90,26
E01006350 : Wigan 010A,"1,860",776,592,319,132,41
E01006351 : Wigan 010B,"2,020",836,670,323,155,36
E01006357 : Wigan 010C,"1,829",813,510,322,148,36
E01006360 : Wigan 010D,"1,680",684,575,275,117,29
E01006361 : Wigan 010E,"1,659",721,566,242,97,33
E01006356 : Wigan 011A,"1,435",623,499,198,93,22
E01006396 : Wigan 011B,"1,480",719,459,178,103,21
E01006397 : Wigan 011C,"1,079",384,395,197,72,31
E01006398 : Wigan 011D,"1,008",405,349,160,75,19
E01006399 : Wigan 011E,"1,604",726,557,223,83,15
E01006305 : Wigan 012A,"1,710",783,519,288,94,26
E01006308 : Wigan 012B,"1,620",721,530,253,92,24
E01006309 : Wigan 012C,"1,668",769,563,206,73,57
E01006310 : Wigan 012D,"1,590",671,535,244,106,34
E01006311 : Wigan 012E,"1,534",640,529,261,79,25
E01006269 : Wigan 013A,"1,737",743,572,274,111,37
E01006271 : Wigan 013B,"1,681",775,554,255,83,14
E01006272 : Wigan 013C,"1,636",712,544,265,82,33
E01006273 : Wigan 013D,"1,481",620,531,222,83,25
E01006276 : Wigan 013E,"2,154","1,099",711,245,75,24
E01006353 : Wigan 014A,"1,458",643,540,185,71,19
E01006354 : Wigan 014B,"1,438",576,470,279,88,25
E01006355 : Wigan 014C,"1,474",615,542,237,63,17
E01006358 : Wigan 014D,"2,133",920,723,344,117,29
E01006359 : Wigan 014E,"1,386",607,451,229,76,23
E01006349 : Wigan 015A,"2,037",995,702,242,79,19
E01006352 : Wigan 015B,"2,034",922,698,266,120,28
E01006404 : Wigan 015C,"1,779",826,582,262,82,27
E01006405 : Wigan 015D,"1,747",773,549,280,122,23
E01006411 : Wigan 015E,"1,433",620,428,250,107,28
E01006270 : Wigan 016A,"1,442",517,490,287,112,36
E01006274 : Wigan 016B,"1,533",695,469,247,105,17
E01006275 : Wigan 016C,"1,571",621,523,266,125,36
E01006277 : Wigan 016D,"1,877","1,057",623,156,32,9
E01006286 : Wigan 016E,"1,561",576,553,316,88,28
E01006239 : Wigan 017A,"2,082",822,631,382,181,66
E01006240 : Wigan 017B,"1,573",623,555,254,105,36
E01006241 : Wigan 017C,"2,539","1,283",811,325,95,25
E01006287 : Wigan 017D,"1,148",538,416,142,36,16
E01006289 : Wigan 017E,"1,689",680,530,304,148,27
E01006362 : Wigan 018A,"1,634",801,566,204,56,7
E01006363 : Wigan 018B,"1,517",659,547,222,70,19
E01006364 : Wigan 018C,"1,831",947,531,239,89,25
E01006365 : Wigan 018D,"2,266","1,325",668,214,50,9
E01006366 : Wigan 018E,"1,851",902,578,230,114,27
E01006367 : Wigan 018F,"1,783",906,609,200,59,9
E01006368 : Wigan 018G,"1,884",973,599,220,72,20
E01006278 : Wigan 019A,"1,634",632,587,298,84,33
E01006279 : Wigan 019B,"1,577",693,619,189,64,12
E01006280 : Wigan 019C,"1,455",602,454,246,123,30
E01006281 : Wigan 019D,"1,937",965,647,248,60,17
E01006285 : Wigan 019E,"1,915",906,646,250,84,29
E01006406 : Wigan 020A,"1,377",563,495,230,73,16
E01006407 : Wigan 020B,"1,453",700,498,186,55,14
E01006408 : Wigan 020C,"1,745",853,523,243,93,33
E01006409 : Wigan 020D,"1,297",539,487,198,58,15
E01006410 : Wigan 020E,"1,272",606,427,182,44,13
E01006393 : Wigan 021A,"1,382",703,467,151,47,14
E01006394 : Wigan 021B,"1,540",786,510,184,54,6
E01006395 : Wigan 021C,"2,628","1,608",753,198,59,10
E01006400 : Wigan 021D,"1,995","1,189",597,143,49,17
E01006401 : Wigan 021E,"1,356",651,497,155,43,10
E01006402 : Wigan 021F,"1,128",564,377,135,40,12
E01006403 : Wigan 021G,"1,626",721,605,222,63,15
E01006290 : Wigan 022A,"1,389",651,473,201,52,12
E01006291 : Wigan 022B,"1,464",657,486,217,85,19
E01006292 : Wigan 022C,"1,500",617,529,254,72,28
E01006293 : Wigan 022D,"1,618",720,525,233,103,37
E01006242 : Wigan 023A,"1,930",828,736,260,86,20
E01006243 : Wigan 023B,"2,123","1,084",714,222,85,18
E01006244 : Wigan 023C,"1,676",631,562,343,105,35
E01006245 : Wigan 023D,"2,629","1,370",865,284,88,22
E01006213 : Wigan 024A,"1,521",635,510,236,112,28
E01006215 : Wigan 024B,"1,712",636,599,315,135,27
E01006217 : Wigan 024C,"2,378","1,057",853,299,134,35
E01006218 : Wigan 024D,"2,432","1,169",788,338,111,26
E01006219 : Wigan 024E,"1,184",510,406,184,67,17
E01006288 : Wigan 025A,"1,826",795,583,292,124,32
E01006294 : Wigan 025B,"1,940",902,684,254,83,17
E01006295 : Wigan 025C,"1,571",626,554,252,99,40
E01006377 : Wigan 025D,"1,557",757,534,203,53,10
E01006378 : Wigan 025E,"1,302",613,430,196,52,11
E01006212 : Wigan 026A,"1,392",607,473,229,60,23
E01006214 : Wigan 026B,"1,379",588,504,167,94,26
E01006216 : Wigan 026C,"2,191","1,061",756,271,80,23
E01006322 : Wigan 026D,"2,090",959,719,286,97,29
E01006329 : Wigan 026E,"1,640",658,581,262,94,45
E01006282 : Wigan 027A,"1,854",838,633,259,101,23
E01006283 : Wigan 027B,"1,584",662,550,232,108,32
E01006284 : Wigan 027C,"1,578",644,488,272,132,42
E01006336 : Wigan 027D,"1,656",607,556,291,153,49
E01006337 : Wigan 027E,"1,497",670,529,214,59,25
E01006376 : Wigan 028A,"1,768",811,575,257,99,26
E01006381 : Wigan 028B,"2,051","1,158",674,174,38,7
E01006382 : Wigan 028C,"1,258",625,439,155,30,9
E01006383 : Wigan 028D,"1,612",831,535,178,60,8
E01006384 : Wigan 028E,"1,321",643,492,144,37,5
E01006250 : Wigan 029A,"2,139","1,184",683,200,52,20
E01006251 : Wigan 029B,"1,544",770,562,166,39,7
E01006379 : Wigan 029C,"1,581",770,537,207,49,18
E01006380 : Wigan 029D,"2,729","1,476",812,289,128,24
E01006385 : Wigan 029E,"1,445",730,457,190,54,14
E01006328 : Wigan 030A,"1,527",666,551,202,83,25
E01006333 : Wigan 030B,"2,087",924,714,313,115,21
E01006334 : Wigan 030C,"2,076",918,717,316,96,29
E01006338 : Wigan 030D,"1,668",714,623,239,72,20
E01006248 : Wigan 031A,"2,279","1,087",709,299,150,34
E01006249 : Wigan 031B,"1,656",717,565,253,87,34
E01006330 : Wigan 031C,"1,540",707,550,208,58,17
E01006331 : Wigan 031D,"1,519",790,505,166,45,13
E01006332 : Wigan 031E,"2,015",916,656,323,92,28
E01006262 : Wigan 032A,"1,710",848,538,223,78,23
E01006263 : Wigan 032B,"1,490",688,502,212,69,19
E01006266 : Wigan 032C,"1,372",576,497,224,56,19
E01006267 : Wigan 032D,"1,618",646,489,317,130,36
E01006268 : Wigan 032E,"1,637",772,563,215,67,20
E01006323 : Wigan 033A,"1,552",641,549,242,94,26
E01006324 : Wigan 033B,"1,292",489,421,231,123,28
E01006325 : Wigan 033C,"1,504",626,521,246,85,26
E01006326 : Wigan 033D,"1,411",560,533,229,71,18
E01006327 : Wigan 033E,"2,562","1,258",796,318,143,47
E01006246 : Wigan 034A,"1,535",646,538,228,98,25
E01006247 : Wigan 034B,"1,282",569,476,180,47,10
E01006252 : Wigan 034C,"1,399",632,511,188,47,21
E01006297 : Wigan 034D,"1,595",623,525,274,131,42
E01006335 : Wigan 034E,"1,578",662,573,268,58,17
E01006220 : Wigan 035A,"1,740",679,564,338,114,45
E01006221 : Wigan 035B,"1,560",697,569,214,65,15
E01006222 : Wigan 035C,"1,557",686,575,226,53,17
E01006224 : Wigan 035D,"1,431",815,466,112,37,1
E01006226 : Wigan 035E,"1,712",802,588,233,64,25
E01006223 : Wigan 036A,"1,588",669,563,241,89,26
E01006225 : Wigan 036B,"1,507",749,485,203,56,14
E01006261 : Wigan 036C,"1,486",576,517,249,123,21
E01006264 : Wigan 036D,"1,229",566,424,182,45,12
E01006265 : Wigan 036E,"1,397",606,523,189,66,13
E01006296 : Wigan 037A,"1,504",572,532,247,116,37
E01006298 : Wigan 037B,"1,424",526,505,250,111,32
E01006299 : Wigan 037C,"1,935",976,661,236,46,16
E01006300 : Wigan 037D,"1,359",684,426,185,45,19
E01006301 : Wigan 037E,"1,484",799,461,164,51,9
E01006227 : Wigan 038A,"1,581",750,532,209,72,18
E01006228 : Wigan 038B,"1,628",765,570,216,67,10
E01006342 : Wigan 038C,"1,556",648,509,270,95,34
E01006344 : Wigan 038D,"1,440",573,456,256,125,30
E01006346 : Wigan 038E,"2,062",951,701,291,90,29
E01006339 : Wigan 039A,"1,255",547,441,203,52,12
E01006340 : Wigan 039B,"1,888",859,639,275,91,24
E01006343 : Wigan 039C,"1,611",869,538,166,34,4
E01006345 : Wigan 039D,"1,559",699,566,232,46,16
E01006348 : Wigan 039E,"2,642","1,523",748,278,78,15
E01006302 : Wigan 040A,"1,835",947,619,198,55,16
E01006303 : Wigan 040B,"1,625",787,558,202,58,20
E01006304 : Wigan 040C,"1,520",680,534,211,70,25
E01006341 : Wigan 040D,"1,664",761,501,263,102,37
E01006347 : Wigan 040E,"1,518",737,519,202,47,13
